Images may be subject to copyright.	Les images peuvent être soumises à des droits d'auteur.
Try more general keywords.	Utilisez des mots clés plus généraux.
Make sure all words are spelled correctly.	Vérifiez l’orthographe des termes de recherche.
Click for video information	Cliquer pour afficher les informations sur la vidéo
Click for product information	Cliquer pour afficher les informations sur le produit
Check website for latest pricing and availability.	Pour connaître les derniers tarifs et la disponibilité, consultez le site Web.
Tap and hold to copy link	Appuyer de manière prolongée pour copier le lien
Tap to copy link	Appuyer pour copier le lien
Looks like this collection is empty	Il semble que cette collection soit vide
Bring back cards you removed	Afficher à nouveau des cartes supprimées
Stop seeing certain cards	Ne plus afficher certaines cartes
Anyone with the link can see this collection	Collection visible par tous les utilisateurs disposant du lien
Only you can see this collection	Collection visible par vous uniquement
Tap a match to see player stats	Appuyer sur un match pour voir les statistiques des joueurs
Failed to change your settings. Try again later.	Échec de la modification des paramètres. Veuillez réessayer plus tard.
To get alerts, notifications should be turned on in both Google app and device settings.	Pour que vous puissiez recevoir des alertes, les notifications doivent être activées dans les paramètres de l’appli Google et de l’appareil.
Keep your Google Account secure: Get real-time security alerts directly on your device.	Sécurisez votre compte Google : recevez des alertes de sécurité en temps réel directement sur votre appareil.
Unfollowing will remove this collection from your list of collections.	Cette opération supprimera la collection de votre liste.
Full time · See stats, news, and more	Terminé · Voir les statistiques, actualités, etc.
Send us your video content	Vous nous envoyez vos contenus vidéo.
Harness the power of GIFs to reach an engaged audience of 350M+ people.	Exploitez la puissance des GIF pour toucher un public fidèle de plus de 350 millions de personnes.
Only you can see your personal results.	Vous seul pouvez voir vos résultats personnalisés.
To include an app in search results, tap it again.	Pour inclure une application dans les résultats de recherche, appuyez à nouveau dessus.
How your app info stays private	Comment les données de vos applications restent privées
To remove an app from search results, tap it.	Pour supprimer une application des résultats de recherche, appuyez dessus.
When you search in apps on your phone, you can see:	Lorsque vous effectuez une recherche dans des applications sur votre téléphone, vous pouvez voir les éléments suivants :
In the search box, type what you’re looking for.	Saisissez les termes recherchés dans le champ de recherche.
Tap the language you want to view the translation.	Appuyez sur la langue dans laquelle vous souhaitez obtenir une traduction.
