Images may be subject to copyright.	Изображения могут быть защищены авторским правом.
Try more general keywords.	Попробуйте использовать более популярные ключевые слова.
Make sure all words are spelled correctly.	Убедитесь, что все слова написаны без ошибок.
Click for video information	Нажмите, чтобы получить информацию о видео
Click for product information	Нажмите, чтобы получить информацию о продукте
Check website for latest pricing and availability.	Перейдите на сайт, чтобы получить информацию о ценах и наличии товаров.
Tap and hold to copy link	Нажмите и удерживайте, чтобы скопировать ссылку
Tap to copy link	Нажмите, чтобы скопировать ссылку
Looks like this collection is empty	В этой коллекции ничего нет
Bring back cards you removed	Как восстановить удаленные подсказки
Stop seeing certain cards	Как запретить определенные подсказки
Anyone with the link can see this collection	Коллекция видна всем, у кого есть ссылка
Only you can see this collection	Коллекция видна только вам
Tap a match to see player stats	Выберите матч, чтобы посмотреть статистику игроков
Failed to change your settings. Try again later.	Не удалось изменить настройки. Повторите попытку позже.
To get alerts, notifications should be turned on in both Google app and device settings.	Чтобы получать предупреждения, включите уведомления в приложении Google и настройках устройства.
Keep your Google Account secure: Get real-time security alerts directly on your device.	Усильте защиту аккаунта Google – включите предупреждения системы безопасности. Они будут поступать прямо на устройство в реальном времени.
Unfollowing will remove this collection from your list of collections.	Коллекция будет удалена из вашего списка.
Full time · See stats, news, and more	Матч окончен · Посмотрите статистику, новости и т. д.
Send us your video content	Отправьте нам свой видеоконтент
Harness the power of GIFs to reach an engaged audience of 350M+ people.	Привлеките внимание более чем 350 млн человек с помощью GIF-изображений.
Only you can see your personal results.	Персональные результаты поиска видны только вам.
To include an app in search results, tap it again.	Чтобы добавить приложение в результаты поиска, нажмите на него ещё раз.
How your app info stays private	Как обеспечивается конфиденциальность информации из приложений
To remove an app from search results, tap it.	Чтобы удалить приложение из результатов поиска, нажмите на него.
When you search in apps on your phone, you can see:	Когда вы выполняете поиск по приложениям, могут появляться следующие виды результатов:
In the search box, type what you’re looking for.	Введите запрос в окно поиска.
Tap the language you want to view the translation.	Нажмите на нужный язык, чтобы увидеть перевод.
This field is required.	Это поле необходимо заполнить.
Sign in to save jobs	Войдите, чтобы сохранить вакансии
Only you and your parent can see this data. Google protects your privacy and security.	Google заботится о вашей безопасности. Эти данные видны только вам и вашим родителям.
Only you can see this data. Google protects your privacy and security.	Google заботится о вашей безопасности. Эти данные видны только вам.
Search business class flights	Поиск билетов бизнес-класса
Send feedback to Google	Отправить отзыв в Google
Related to your search	Похоже на то, что вы ищете
Unable to share collection. Please check your popup blocker.	Не удалось поделиться коллекцией. Вероятно, включен блокировщик всплывающих окон.
Sao Tome and Principe	Сан-Томе и Принсипи
