0xC00,$ఀ_COMBINING_CANDRABINDU
0xC01,$ఁ_CANDRABINDU
0xC02,$ం_ANUSVARA
0xC03,$ః_VISARGA
0xC04,$ఄ_COMBINING_ANUSVARA_ABOVE
0xC05,అ_A
0xC06,ఆ_AA
0xC07,ఇ_I
0xC08,ఈ_II
0xC09,ఉ_U
0xC0A,ఊ_UU
0xC0B,ఋ_VOCALIC_R
0xC0C,ఌ_VOCALIC_L
0xC0D,
0xC0E,ఎ_E
0xC0F,ఏ_EE
0xC10,ఐ_AI
0xC11,
0xC12,ఒ_O
0xC13,ఓ_OO
0xC14,ఔ_AU
0xC15,క_KA
0xC16,ఖ_KHA
0xC17,గ_GA
0xC18,ఘ_GHA
0xC19,ఙ_NGA
0xC1A,చ_CA
0xC1B,ఛ_CHA
0xC1C,జ_JA
0xC1D,ఝ_JHA
0xC1E,ఞ_NYA
0xC1F,ట_TTA
0xC20,ఠ_TTHA
0xC21,డ_DDA
0xC22,ఢ_DDHA
0xC23,ణ_NNA
0xC24,త_TA
0xC25,థ_THA
0xC26,ద_DA
0xC27,ధ_DHA
0xC28,న_NA
0xC29,
0xC2A,ప_PA
0xC2B,ఫ_PHA
0xC2C,బ_BA
0xC2D,భ_BHA
0xC2E,మ_MA
0xC2F,య_YA
0xC30,ర_RA
0xC31,ఱ_RRA
0xC32,ల_LA
0xC33,ళ_LLA
0xC34,ఴ_LLLA
0xC35,వ_VA
0xC36,శ_SHA
0xC37,ష_SSA
0xC38,స_SA
0xC39,హ_HA
0xC3A,
0xC3B,
0xC3C,$఼_NUKTA
0xC3D,ఽ_AVAGRAHA
0xC3E,$ా_AA
0xC3F,$ి_I
0xC40,$ీ_II
0xC41,$ు_U
0xC42,$ూ_UU
0xC43,$ృ_R
0xC44,$ౄ_RR
0xC45,
0xC46,$ె_E
0xC47,$ే_EE
0xC48,$ై_AI
0xC49,
0xC4A,$ొ_O
0xC4B,$ో_OO
0xC4C,$ౌ_AU
0xC4D,$్_VIRAMA
0xC4E,
0xC4F,
0xC50,
0xC51,
0xC52,
0xC53,
0xC54,
0xC55,$ౕ_LENGTH_MARK
0xC56,$ౖ_AI_LENGTH_MARK
0xC57,
0xC58,ౘ_TSA
0xC59,ౙ_DZA
0xC5A,ౚ_RRRA
0xC5B,
0xC5C,
0xC5D,ౝ_NAKAARA_POLLU
0xC5E,
0xC5F,
0xC60,ౠ_VOCALIC_RR
0xC61,ౡ_VOCALIC_LL
0xC62,$ౢ_L
0xC63,$ౣ_LL
0xC64,_danda
0xC65,_danda
0xC66,౦_ZERO
0xC67,౧_ONE
0xC68,౨_TWO
0xC69,౩_THREE
0xC6A,౪_FOUR
0xC6B,౫_FIVE
0xC6C,౬_SIX
0xC6D,౭_SEVEN
0xC6E,౮_EIGHT
0xC6F,౯_NINE
0xC70,
0xC71,
0xC72,
0xC73,
0xC74,
0xC75,
0xC76,
0xC77,౷_SIDDHAM
0xC78,౸_FRACTION_DIGIT_ZERO_FOR_ODD
0xC79,౹_FRACTION_DIGIT_ONE_FOR_ODD
0xC7A,౺_FRACTION_DIGIT_TWO_FOR_ODD
0xC7B,౻_FRACTION_DIGIT_THREE_FOR_ODD
0xC7C,౼_FRACTION_DIGIT_ONE_FOR_EVEN
0xC7D,౽_FRACTION_DIGIT_TWO_FOR_EVEN
0xC7E,౾_FRACTION_DIGIT_THREE_FOR_EVEN_POWERS_OF_FOUR
0xC7F,౿_TUUMU
