0x980,ঀ_BENGALI_ANJI
0x981,$ঁ_CANDRABINDU
0x982,$ং_ANUSVARA
0x983,$ঃ_VISARGA
0x984,
0x985,অ_A
0x986,আ_AA
0x987,ই_I
0x988,ঈ_II
0x989,উ_U
0x98A,ঊ_UU
0x98B,ঋ_VOCALIC_R
0x98C,ঌ_VOCALIC_L
0x98D,
0x98E,
0x98F,এ_E
0x990,ঐ_AI
0x991,
0x992,
0x993,ও_O
0x994,ঔ_AU
0x995,ক_KA
0x996,খ_KHA
0x997,গ_GA
0x998,ঘ_GHA
0x999,ঙ_NGA
0x99A,চ_CA
0x99B,ছ_CHA
0x99C,জ_JA
0x99D,ঝ_JHA
0x99E,ঞ_NYA
0x99F,ট_TTA
0x9A0,ঠ_TTHA
0x9A1,ড_DDA
0x9A2,ঢ_DDHA
0x9A3,ণ_NNA
0x9A4,ত_TA
0x9A5,থ_THA
0x9A6,দ_DA
0x9A7,ধ_DHA
0x9A8,ন_NA
0x9A9,
0x9AA,প_PA
0x9AB,ফ_PHA
0x9AC,ব_BA
0x9AD,ভ_BHA
0x9AE,ম_MA
0x9AF,য_YA
0x9B0,র_RA
0x9B1,
0x9B2,ল_LA
0x9B3,
0x9B4,
0x9B5,
0x9B6,শ_SHA
0x9B7,ষ_SSA
0x9B8,স_SA
0x9B9,হ_HA
0x9BA,
0x9BB,
0x9BC,$়_NUKTA
0x9BD,ঽ_AVAGRAHA
0x9BE,$া_wwlsign__AA
0x9BF,$ি_wwlsign__I
0x9C0,$ী_wwlsign__II
0x9C1,$ু_wwlsign__U
0x9C2,$ূ_wwlsign__UU
0x9C3,$ৃ_VOCALIC__R
0x9C4,$ৄ_VOCALIC__RR
0x9C5,
0x9C6,
0x9C7,$ে_wwlsign__E
0x9C8,$ৈ_wwlsign__AI
0x9C9,
0x9CA,
0x9CB,$ো_wwlsign__O
0x9CC,$ৌ_wwlsign__AU
0x9CD,$্_VIRAMA
0x9CE,ৎ_KHANDA_TA
0x9CF,
0x9D0,
0x9D1,
0x9D2,
0x9D3,
0x9D4,
0x9D5,
0x9D6,
0x9D7,$ৗ_AU_LENGTH_MARK
0x9D8,
0x9D9,
0x9DA,
0x9DB,
0x9DC,ড়_RRA
0x9DD,ঢ়_RHA
0x9DE,
0x9DF,য়_YYA
0x9E0,ৠ_VOCALIC_RR
0x9E1,ৡ_VOCALIC_LL
0x9E2,$ৢ_VOCALIC_L
0x9E3,$ৣ_VOCALIC_LL
0x9E4,danda
0x9E5,dbldanda
0x9E6,০_ZERO
0x9E7,১_ONE
0x9E8,২_TWO
0x9E9,৩_THREE
0x9EA,৪_FOUR
0x9EB,৫_FIVE
0x9EC,৬_SIX
0x9ED,৭_SEVEN
0x9EE,৮_EIGHT
0x9EF,৯_NINE
0x9F0,ৰ_RA_WITH_MIDDLE_DIAGONAL
0x9F1,ৱ_RA_WITH_LOWER_DIAGONAL
0x9F2,৲_RUPEE_MARK
0x9F3,৳_RUPEE_SIGN
0x9F4,৴_numerator_ONE
0x9F5,৵_numerator_TWO
0x9F6,৶_numerator_THREE
0x9F7,৷_numerator_FOUR
0x9F8,৸_numerator_ONE_LESS
0x9F9,৹_denominator_SIXTEEN
0x9FA,৺_BENGALI_ISSHAR
0x9FB,º_BENGALI_GANDA_MARK
0x9FC,_VEDIC_ANUSVARA
0x9FD,॰_BENGALI_ABBREVIATION_SIGN
0x9FE,$_ঽ_BENGALI_SANDHI_MARK=09BD_ঽ_avagraha
0x9FF,
