0xD00,$ഀ_COMBINING_ANUSVARA
0xD01,$ഁ_CANDRABINDU
0xD02,$ം_ANUSVARA
0xD03,$ഃ_VISARGA
0xD04,ഄ_VEDIC_ANUSVARA
0xD05,അ_A
0xD06,ആ_AA
0xD07,ഇ_I
0xD08,ഈ_II
0xD09,ഉ_U
0xD0A,ഊ_UU
0xD0B,ഋ_VOCALIC_R
0xD0C,ഌ_VOCALIC_L
0xD0D,
0xD0E,എ_E
0xD0F,ഏ_EE
0xD10,ഐ_AI
0xD11,
0xD12,ഒ_O
0xD13,ഓ_OO
0xD14,ഔ_AU
0xD15,ക_KA
0xD16,ഖ_KHA
0xD17,ഗ_GA
0xD18,ഘ_GHA
0xD19,ങ_NGA
0xD1A,ച_CA
0xD1B,ഛ_CHA
0xD1C,ജ_JA
0xD1D,ഝ_JHA
0xD1E,ഞ_NYA
0xD1F,ട_TTA
0xD20,ഠ_TTHA
0xD21,ഡ_DDA
0xD22,ഢ_DDHA
0xD23,ണ_NNA
0xD24,ത_TA
0xD25,ഥ_THA
0xD26,ദ_DA
0xD27,ധ_DHA
0xD28,ന_NA
0xD29,ഩ_NNNA
0xD2A,പ_PA
0xD2B,ഫ_PHA
0xD2C,ബ_BA
0xD2D,ഭ_BHA
0xD2E,മ_MA
0xD2F,യ_YA
0xD30,ര_RA
0xD31,റ_RRA
0xD32,ല_LA
0xD33,ള_LLA
0xD34,ഴ_LLLA
0xD35,വ_VA
0xD36,ശ_SHA
0xD37,ഷ_SSA
0xD38,സ_SA
0xD39,ഹ_HA
0xD3A,ഺ_TTTA
0xD3B,$഻_VERTICAL_BAR_VIRAMA
0xD3C,$഼_CIRCULAR_VIRAMA
0xD3D,ഽ_AVAGRAHA
0xD3E,$ാ_AA
0xD3F,$ി_I
0xD40,$ീ_II
0xD41,$ു_U
0xD42,$ൂ_UU
0xD43,$ൃ_VOCALIC_R
0xD44,$ൄ_VOCALIC_RR
0xD45,
0xD46,$െ_E
0xD47,$േ_EE
0xD48,$ൈMALAYALAM_VOWEL_SIGN_AI
0xD49,
0xD4A,$ൊ_O
0xD4B,$ോ_OO
0xD4C,$ൌ_AU
0xD4D,$്_VIRAMA
0xD4E,ൎ_DOT_REPH
0xD4F,൥_PARA
0xD50,
0xD51,
0xD52,
0xD53,
0xD54,ൔ_CHILLU_M
0xD55,ൕ_CHILLU_Y
0xD56,ൖ_CHILLU_LLL
0xD57,$ൗ_AU_LENGTH_MARK
0xD58,൘_FRACTION_ONE_ONE-HUNDREDAND-SIXTIETH
0xD59,൙_FRACTION_ONE_FORTIETH
0xD5A,൚_FRACTION_THREE_EIGHTIETHS
0xD5B,൛_FRACTION_ONE_TWENTIETH
0xD5C,൜_FRACTION_ONE_TENTH
0xD5D,൝_FRACTION_THREE_TWENTIETHS
0xD5E,൞_FRACTION_ONE_FIFTH
0xD5F,ൟ_ARCHAIC_II
0xD60,ൠ_VOCALIC_RR
0xD61,ൡ_VOCALIC_LL
0xD62,$ൢ_VOCALIC_L
0xD63,$ൣ_VOCALIC_LL
0xD64,danda
0xD65,double_danda
0xD66,൦_ZERO
0xD67,൧_ONE
0xD68,൨_TWO
0xD69,൩_THREE
0xD6A,൪_FOUR
0xD6B,൫_FIVE
0xD6C,൬_SIX
0xD6D,൭_SEVEN
0xD6E,൮_EIGHT
0xD6F,൯_NINE
0xD70,൰_NUMBER_TEN
0xD71,൱_NUMBER_ONE_HUNDRED
0xD72,൲_NUMBER_ONE_THOUSAND
0xD73,൳_FRACTION_ONE_QUARTER
0xD74,൴_FRACTION_ONE_HALF
0xD75,൵_FRACTION_THREE_QUARTERS
0xD76,൶_FRACTION_ONE_SIXTEENTH
0xD77,൷_FRACTION_ONE_EIGHTH
0xD78,൸_FRACTION_THREE_SIXTEENTHS
0xD79,൹_DATE_MARK
0xD7A,ൺ_CHILLU_NN
0xD7B,ൻ_CHILLU_N
0xD7C,ർ_CHILLU_RR
0xD7D,ൽ_CHILLU_L
0xD7E,ൾ_CHILLU_LL
0xD7F,ൿ_CHILLU_K
