iNg31,Hin31
mosquito,mcchr
coriander,ԃhniyα
deer,ɦirn
a,ek
i,mei
ad,wigyαpn
ah,αh
am,ɦu
as,zeisα
at,pr
be,ɦo
by,ԃwαrα
do,kr
go,zα
ha,ɦα
he,wɦ
hi,nmsтe
ie,yαni
if,agr
in,me
it,yɦ
me,muzhe
mr,mr
ms,ms
my,merα
no,nɦi
of,kα
oh,oɦ
ok,ok
on,pr
or,yα
pc,pc
pm,pm
re,re
so,islie
to,ko
tv,tiwi
uh,uɦ
up,upr
us,ɦm
vs,bnαm
we,ɦm
act,krni
add,zod
age,ααyu
ago,pɦle
aid,sɦαyтα
aim,uԃԃeshy
air,wαyu
all,sbhi
and,or
any,koi
arm,ɦαтh
art,klα
ash,rαkh
ask,puchnα
ass,gԃhα
bad,khrαb
bag,тheilα
ban,prтibnԃh
bar,chd
bat,bllα
bay,khαdi
bed,bisтr
bee,mԃhumkkhi
beg,beg
bet,bet
bid,boli
big,bdα
bit,ansh
bow,zhuknα
box,dibbα
boy,ldkα
bug,kidα
bus,bs
but,lekin
buy,khriԃnα
cab,cab
can,sk
cap,topi
car,kαr
cat,billi
ceo,ceo
cop,pulis
cow,gαy
cry,ćillα
cue,sńkeт
cup,kp
cut,kαtnα
dad,pαpα
dam,bαnԃh
day,ԃin
die,mrnα
dig,khoԃnα
dip,dubonα
dna,dienae
dog,kuттα
dot,dot
dry,sukhα
due,ԃey
ear,kαn
eat,khα
egg,andα
ego,aɦńkαr
end,anт
era,yug
etc,wgeirɦ
eye,ααńkh
fan,pńkhα
far,ԃur
fat,motα
fee,shulk
few,kuch
fit,upyukт
fix,fix
fly,udnα
fog,koɦrα
for,for
fun,mzα
fur,chαl
gap,anтr
gas,geis
gay,smleińgik
get,pαnα
god,ishwr
gun,bnԃuk
gut,ααnт
guy,ldkα
gym,zim
hat,topi
hay,ghαs
her,uski
hey,are
him,use
hip,kulɦα
his,uskα
hit,mαr
hot,grm
how,keise
hug,ααlińgn
huh,ɦuɦ
ice,brf
ill,bimαr
its,iskα
jar,zαr
jaw,zbdα
jet,zet
jew,yɦuԃi
job,kαm
joy,ααnnԃ
key,ćαbi
kid,bććα
kit,kit
lab,pryogshαlα
lap,goԃ
law,kαnun
lay,bichαnα
leg,tαńg
let,let
lid,dhkkn
lie,zhuth
lip,onth
log,log
lot,bɦuт
low,km
mad,pαgl
man,ααԃmi
map,nkshα
may,mai
mix,miks
mom,mα
mrs,shrimтi
mud,kićarr
net,zαl
new,nyα
nod,gαth
nor,nα
not,nɦi
now,ab
nut,nut
oak,oak
odd,wism
off,bnԃ
oil,тel
old,purαnα
one,ek
opt,ćun
our,ɦmαrα
out,bαɦr
owe,rinni
own,apnα
pad,pad
pan,kdαɦi
pat,тhp
pay,weтn
pen,klm
per,prтi
pet,pαlтu
pie,pαi
pig,suar
pin,pin
pit,gddhα
pop,pop
pot,brтn
pro,pro
put,rkh
rat,ćuɦα
raw,kććα
red,lαl
rib,psli
rid,rid
rim,kinαrα
rip,fαrr
rod,chd
row,pńkтi
rub,rgarr
run,bhαg
sad,ԃukhԃ
say,kɦnα
sea,smuԃr
see,ԃekhnα
set,set
sex,seks
she,wɦ
shy,shrmilα
sin,pαp
sir,mɦoԃy
sit,beithnα
six,chɦ
ski,ski
sky,ααkαsh
son,betα
spy,zαsus
sue,sue
sum,zod
sun,surz
tag,tag
tap,nl
tax,kr
tea,ćαy
ten,ԃs
the,ԃ
tie,kɦ
tip,bkhshish
toe,toe
too,bɦuт
top,shirs
toy,khilone
try,koshish
two,ԃo
use,upyog
van,wein
via,via
war,yuԃԃh
way,rαsтα
web,web
wet,gilα
who,kon
why,kyo
win,ziiт
wow,wow
yes,ɦα
yet,yet
you,ααp
able,yogy
acid,aml
aide,sɦyogi
aids,eds
ally,miтr
also,bhi
amid,amid
arab,arb
area,sheтr
army,senα
atop,upr
aunt,ćαći
auto,ααto
away,ԃur
baby,bććα
back,piche
bake,seknα
ball,genԃ
band,beind
bank,kinαrα
bare,nńgα
barn,khliɦαn
base,ααԃhαr
bath,nɦα
beam,beam
bean,bin
bear,bhαlu
beat,mαro
beef,beef
beer,biyr
bell,ghnti
belt,belt
bend,zhuk
best,shresth
bias,pkspαт
bike,bαik
bill,bil
bind,bαnԃh
bird,ćidiyα
bite,kαt
blow,blow
blue,nilα
boat,nααw
body,shrir
boil,ubαl
bold,bold
bolt,pech
bomb,bomb
bond,bond
bone,ɦddi
book,kiтαb
boom,uchαl
boot,boot
born,znm
boss,mαlik
both,ԃono
bowl,ktorα
buck,buck
bulb,blb
bulk,тhok
bull,sαnd
burn,zlα
bury,ԃfnα
bush,zhαrri
busy,wysт
butt,butt
cage,pinzrα
cake,kek
call,pukαr
calm,shαnт
camp,shiwir
card,kαrd
care,prvαɦ
cart,kαrt
case,case
cash,nkaԃ
cast,dhαl
cave,gufα
cell,kks
